year,quarter,capacity,demand,production_cost
2000,1,686.16,924.29,72.26
2000,2,306.8,374.82,60.27
2000,3,651.01,118.75,43.84
2000,4,340.15,441.6,33.55
2001,1,581.96,504.17,63.87
2001,2,348.64,650.06,57.88
2001,3,581.79,117.86,45.42
2001,4,362.14,370.03,35.58
2002,1,457.61,648.31,50.96
2002,2,337.72,437.8,53.05
2002,3,727.63,137.96,44.22
2002,4,394.74,328.3,38.62
2003,1,606.08,826.93,49.83
2003,2,305.12,394.78,49.06
2003,3,733.27,127.57,41.51
2003,4,338.69,406.13,41.02
2004,1,587.44,781.08,56.99
2004,2,339.78,552.05,57.39
2004,3,709.38,168.39,49.78
2004,4,346.8,478.85,39.52
2005,1,472.59,641.99,57.08
2005,2,294.93,450.35,52.42
2005,3,635.71,121.52,45.2
2005,4,364.38,471.1,40.91
2006,1,620.87,1033.58,48.61
2006,2,316.4,541.91,46.0
2006,3,587.75,107.29,51.31
2006,4,387.37,496.24,30.47
2007,1,508.61,727.76,60.48
2007,2,386.86,446.76,60.94
2007,3,631.7,147.61,41.22
2007,4,430.57,499.2,39.27
2008,1,498.99,650.99,49.21
2008,2,410.15,228.93,48.56
2008,3,608.34,124.74,49.0
2008,4,450.88,397.6,41.97
2009,1,486.39,475.87,45.03
2009,2,370.6,421.42,56.88
2009,3,566.12,116.35,48.6
2009,4,418.48,574.1,39.62
2010,1,660.04,683.0,50.34
2010,2,400.58,345.26,52.85
2010,3,526.23,122.89,53.17
2010,4,418.84,626.86,49.3
2011,1,442.96,535.88,47.3
2011,2,404.53,357.34,42.9
2011,3,580.72,101.95,60.43
2011,4,431.67,620.5,45.41
2012,1,520.31,619.4,47.79
2012,2,411.27,474.52,39.79
2012,3,536.35,75.89,55.11
2012,4,440.4,471.98,47.57
2013,1,424.81,588.17,43.29
2013,2,441.7,366.87,48.94
2013,3,576.91,155.53,50.08
2013,4,494.89,558.7,45.92
2014,1,506.3,731.36,37.58
2014,2,481.9,370.55,50.72
2014,3,507.01,68.96,60.8
2014,4,542.89,604.53,45.36
2015,1,418.48,659.7,47.18
2015,2,383.51,453.54,41.71
2015,3,513.46,112.73,63.58
2015,4,485.63,392.97,51.81
2016,1,470.32,527.08,31.21
2016,2,455.22,465.16,44.89
2016,3,485.35,102.2,61.74
2016,4,404.07,497.72,38.81
2017,1,444.93,589.24,41.73
2017,2,388.77,399.07,47.28
2017,3,431.11,83.62,71.87
2017,4,523.98,445.98,57.26
2018,1,528.95,452.96,46.33
2018,2,436.25,326.84,47.67
2018,3,465.21,58.07,57.02
2018,4,515.7,236.79,63.91
2019,1,371.12,352.08,38.12
2019,2,454.68,379.07,41.29
2019,3,540.91,106.98,71.02
2019,4,579.08,388.21,55.06
2020,1,412.13,535.18,42.45
2020,2,564.7,313.06,39.92
2020,3,404.21,93.58,62.78
2020,4,572.63,525.99,59.35
2021,1,419.43,503.54,40.51
2021,2,431.6,273.09,36.06
2021,3,355.18,93.53,95.63
2021,4,516.12,647.11,49.16
2022,1,351.26,574.1,37.56
2022,2,467.07,211.69,36.52
2022,3,367.37,115.32,64.35
2022,4,568.36,1066.27,57.88
2023,1,426.27,409.36,38.62
2023,2,557.24,269.05,28.2
2023,3,357.27,60.71,68.3
2023,4,543.55,669.21,65.07
